2024-03-16 15:49:22.347 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-16 15:49:22.347 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-16 15:49:22.351 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-16 15:49:22.474 INFO  (qtp693267461-20-null-3) [c: s: r: x: t:null-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710604161810} status=0 QTime=16
2024-03-16 15:49:23.485 INFO  (qtp693267461-21-null-4) [c: s: r: x:n11_restaurants t:null-4] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710604161866} status=0 QTime=14
2024-03-16 15:49:23.573 INFO  (qtp693267461-23-null-5) [c: s: r: x:n11_restaurants t:null-5] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710604161866} status=0 QTime=24
2024-03-16 15:49:24.520 INFO  (qtp693267461-18-null-6) [c: s: r: x:n11_restaurants t:null-6] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710604161866} status=0 QTime=14
2024-03-16 15:49:48.840 INFO  (qtp693267461-27-null-8) [c: s: r: x: t:null-8] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710604188793} status=0 QTime=0
2024-03-16 15:49:48.844 INFO  (qtp693267461-18-null-11) [c: s: r: x:n11_restaurants t:null-11] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710604188823} status=0 QTime=0
2024-03-16 15:49:48.849 INFO  (qtp693267461-48-null-10) [c: s: r: x:n11_restaurants t:null-10] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710604188823} status=0 QTime=7
2024-03-16 15:49:48.863 INFO  (qtp693267461-19-null-9) [c: s: r: x: t:null-9] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710604188793} status=0 QTime=22
2024-03-16 15:49:48.925 INFO  (qtp693267461-26-null-12) [c: s: r: x:n11_restaurants t:null-12] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710604188823} status=0 QTime=13
2024-03-16 15:49:52.211 INFO  (qtp693267461-19-null-13) [c: s: r: x: t:null-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710604188793} status=0 QTime=0
2024-03-16 15:49:52.219 INFO  (qtp693267461-23-null-16) [c: s: r: x:n11_restaurants t:null-16] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710604188823} status=0 QTime=1
2024-03-16 15:49:52.226 INFO  (qtp693267461-25-null-14) [c: s: r: x:n11_restaurants t:null-14] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710604188823} status=0 QTime=15
2024-03-16 15:49:52.231 INFO  (qtp693267461-24-null-15) [c: s: r: x: t:null-15] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710604188793} status=0 QTime=20
